ObjectID,Title,Artist,Date,Source,Department,IsHighlight,ImageURL
"125249","The Large Plane Trees (Road Menders at Saint-Rémy)","Vincent van Gogh (Dutch, 1853–1890)","1889","Cleveland Museum","Cleveland Museum","false","https://openaccess-cdn.clevelandart.org/1947.209/1947.209_web.jpg"
"135299","Adeline Ravoux","Vincent van Gogh (Dutch, 1853–1890)","1890","Cleveland Museum","Cleveland Museum","false","https://openaccess-cdn.clevelandart.org/1958.31/1958.31_web.jpg"
"135310","Two Poplars in the Alpilles near Saint-Rémy","Vincent van Gogh (Dutch, 1853–1890)","1889","Cleveland Museum","Cleveland Museum","false","https://openaccess-cdn.clevelandart.org/1958.32/1958.32_web.jpg"
"135286","Landscape with Wheelbarrow","Vincent van Gogh (Dutch, 1853–1890)","1883","Cleveland Museum","Cleveland Museum","false","https://openaccess-cdn.clevelandart.org/1958.30/1958.30_web.jpg"
"126085","Dr. Gachet","Vincent van Gogh (Dutch, 1853–1890)","1890","Cleveland Museum","Cleveland Museum","false","https://openaccess-cdn.clevelandart.org/1948.303/1948.303_web.jpg"
"124089","Portrait of a Woman","Rembrandt van Rijn (Dutch, 1606–1669)","1635 or earlier","Cleveland Museum","Cleveland Museum","false","https://openaccess-cdn.clevelandart.org/1944.90/1944.90_web.jpg"
"144844","Tobias Healing His Father's Blindness","Rembrandt van Rijn (Dutch, 1606–1669)","c. 1640–45","Cleveland Museum","Cleveland Museum","false","https://openaccess-cdn.clevelandart.org/1969.69/1969.69_web.jpg"
"122348","A Young Man with a Chain","Rembrandt van Rijn (Dutch, 1606–1669)","c. 1629 or 1632","Cleveland Museum","Cleveland Museum","false","https://openaccess-cdn.clevelandart.org/1942.644/1942.644_web.jpg"
"127573","A Bearded Man Wearing a Hat","Rembrandt van Rijn (Dutch, 1606–1669)","c. 1655–60","Cleveland Museum","Cleveland Museum","false","https://openaccess-cdn.clevelandart.org/1950.252/1950.252_web.jpg"
"149378","Shah Jahan","Rembrandt van Rijn (Dutch, 1606–1669)","c. 1656–61","Cleveland Museum","Cleveland Museum","false","https://openaccess-cdn.clevelandart.org/1978.38/1978.38_web.jpg"
"135706","Christ Crucified Between the Two Thieves: 'The Three Crosses'","Rembrandt van Rijn (Dutch, 1606–1669)","1653-c.1660","Cleveland Museum","Cleveland Museum","false","https://openaccess-cdn.clevelandart.org/1959.241/1959.241_web.jpg"
"114751","Self-Portrait Drawing at a Window","Rembrandt van Rijn (Dutch, 1606–1669)","1648","Cleveland Museum","Cleveland Museum","false","https://openaccess-cdn.clevelandart.org/1934.350/1934.350_web.jpg"
"143195","An Elderly Man in Prayer","Rembrandt van Rijn (Dutch, 1606–1669)","1660s or later","Cleveland Museum","Cleveland Museum","false","https://openaccess-cdn.clevelandart.org/1967.16/1967.16_web.jpg"
"136304","Christ Taken before Caiaphas","Rembrandt van Rijn (Dutch, 1606–1669)","c. 1641–42","Cleveland Museum","Cleveland Museum","false","https://openaccess-cdn.clevelandart.org/1960.187/1960.187_web.jpg"
"135295","Christ Preaching ('La Petite Tombe')","Rembrandt van Rijn (Dutch, 1606–1669)","c. 1652","Cleveland Museum","Cleveland Museum","false","https://openaccess-cdn.clevelandart.org/1958.306/1958.306_web.jpg"
"137153","The Meeting of Christ with Martha and Mary after the Death of Lazarus","Rembrandt van Rijn (Dutch, 1606–1669)","c. 1662–65","Cleveland Museum","Cleveland Museum","false","https://openaccess-cdn.clevelandart.org/1962.116/1962.116_web.jpg"
"676879","St. Francis Beneath a Tree Praying","Rembrandt van Rijn (Dutch, 1606–1669)","1657","Cleveland Museum","Cleveland Museum","false","https://openaccess-cdn.clevelandart.org/2024.64/2024.64_web.jpg"
"136153","Rembrandt and His Wife Saskia","Rembrandt van Rijn (Dutch, 1606–1669)","1636","Cleveland Museum","Cleveland Museum","false","https://openaccess-cdn.clevelandart.org/1959.81/1959.81_web.jpg"
"162193","The Blindness of Tobit: The Large Plate","Rembrandt van Rijn (Dutch, 1606–1669)","1651","Cleveland Museum","Cleveland Museum","false","https://openaccess-cdn.clevelandart.org/2002.10/2002.10_web.jpg"
"161179","The Presentation in the Temple","Rembrandt van Rijn (Dutch, 1606–1669)","c. 1654","Cleveland Museum","Cleveland Museum","false","https://openaccess-cdn.clevelandart.org/1999.3/1999.3_web.jpg"
"148804","The Strolling Musicians","Rembrandt van Rijn (Dutch, 1606–1669)","c. 1635","Cleveland Museum","Cleveland Museum","false","https://openaccess-cdn.clevelandart.org/1976.54/1976.54_web.jpg"
"104119","Christ at Emmaus: The Larger Plate","Rembrandt van Rijn (Dutch, 1606–1669)","1654","Cleveland Museum","Cleveland Museum","false","https://openaccess-cdn.clevelandart.org/1922.280/1922.280_web.jpg"
"160065","Woman Bathing Her Feet in a Brook","Rembrandt van Rijn (Dutch, 1606–1669)","1658","Cleveland Museum","Cleveland Museum","false","https://openaccess-cdn.clevelandart.org/1997.4/1997.4_web.jpg"
"104116","Return of the Prodigal Son","Rembrandt van Rijn (Dutch, 1606–1669)","1636","Cleveland Museum","Cleveland Museum","false","https://openaccess-cdn.clevelandart.org/1922.278/1922.278_web.jpg"
"284347","The Pancake Woman","Rembrandt van Rijn (Dutch, 1606–1669)","1635","Cleveland Museum","Cleveland Museum","false","https://openaccess-cdn.clevelandart.org/2016.41/2016.41_web.jpg"
"164752","Ecce Homo. Christ Presented to the People","Rembrandt van Rijn (Dutch, 1606–1669)","1655","Cleveland Museum","Cleveland Museum","false","https://openaccess-cdn.clevelandart.org/2006.155/2006.155_web.jpg"
"135382","The Red Kerchief","Claude Monet (French, 1840–1926)","c. 1868–73","Cleveland Museum","Cleveland Museum","false","https://openaccess-cdn.clevelandart.org/1958.39/1958.39_web.jpg"
"136510","Water Lilies (Agapanthus)","Claude Monet (French, 1840–1926)","c. 1915–26","Cleveland Museum","Cleveland Museum","false","https://openaccess-cdn.clevelandart.org/1960.81/1960.81_web.jpg"
"130391","Spring Flowers","Claude Monet (French, 1840–1926)","1864","Cleveland Museum","Cleveland Museum","false","https://openaccess-cdn.clevelandart.org/1953.155/1953.155_web.jpg"
"95272","Gardener's House at Antibes","Claude Monet (French, 1840–1926)","1888","Cleveland Museum","Cleveland Museum","false","https://openaccess-cdn.clevelandart.org/1916.1044/1916.1044_web.jpg"
"125234","Low Tide at Pourville, near Dieppe, 1882","Claude Monet (French, 1840–1926)","1882","Cleveland Museum","Cleveland Museum","false","https://openaccess-cdn.clevelandart.org/1947.196/1947.196_web.jpg"
"120286","Roses in a Vase","Pierre-Auguste Renoir (French, 1841–1919)","c. 1890","Cleveland Museum","Cleveland Museum","false","https://openaccess-cdn.clevelandart.org/1941.14/1941.14_web.jpg"
"111385","The Frugal Meal","Pablo Picasso (Spanish, 1881–1973)","September 1904, printed 1913","Cleveland Museum","Cleveland Museum","false","https://openaccess-cdn.clevelandart.org/1929.888/1929.888_web.jpg"
"447789","Footpath in the Woods","Paul Cezanne (French, 1839–1906)","1882–84","Cleveland Museum","Cleveland Museum","false","https://openaccess-cdn.clevelandart.org/2021.165/2021.165_web.jpg"
"125104","Frieze of Dancers","Edgar Degas (French, 1834–1917)","c. 1895","Cleveland Museum","Cleveland Museum","false","https://openaccess-cdn.clevelandart.org/1946.83/1946.83_web.jpg"
"135238","Paul Lafond and Alphonse Cherfils Examining a Painting","Edgar Degas (French, 1834–1917)","c. 1878–80","Cleveland Museum","Cleveland Museum","false","https://openaccess-cdn.clevelandart.org/1958.25/1958.25_web.jpg"
"95271","Dancers","Edgar Degas (French, 1834–1917)","c. 1896","Cleveland Museum","Cleveland Museum","false","https://openaccess-cdn.clevelandart.org/1916.1043/1916.1043_web.jpg"
"135262","Before the Race","Edgar Degas (French, 1834–1917)","c. 1887–89","Cleveland Museum","Cleveland Museum","false","https://openaccess-cdn.clevelandart.org/1958.27/1958.27_web.jpg"
"172659","Dancer Looking at the Sole of her Right Foot","Edgar Degas (French, 1834–1917)","1896–97","Cleveland Museum","Cleveland Museum","false","https://openaccess-cdn.clevelandart.org/1947.2028/1947.2028_web.jpg"
"143203","Conversation: Ludovic Halévy and Madame Cardinal (The Conversation) for ""La Famille Cardinal"" by Ludovic Halévy","Edgar Degas (French, 1834–1917)","c. 1880–83","Cleveland Museum","Cleveland Museum","false","https://openaccess-cdn.clevelandart.org/1967.167/1967.167_web.jpg"
"142356","Estérel Village","Edgar Degas (French, 1834–1917)","c. 1890","Cleveland Museum","Cleveland Museum","false","https://openaccess-cdn.clevelandart.org/1966.177/1966.177_web.jpg"
"128874","Victoria Dubourg","Edgar Degas (French, 1834–1917)","c. 1866","Cleveland Museum","Cleveland Museum","false","https://openaccess-cdn.clevelandart.org/1951.483/1951.483_web.jpg"
"130528","Diego Martelli","Edgar Degas (French, 1834–1917)","1879","Cleveland Museum","Cleveland Museum","false","https://openaccess-cdn.clevelandart.org/1953.268/1953.268_web.jpg"
"148672","Angel Blowing a Trumpet","Edgar Degas (French, 1834–1917)","1857–59","Cleveland Museum","Cleveland Museum","false","https://openaccess-cdn.clevelandart.org/1976.130/1976.130_web.jpg"
"128808","Sheet of Studies and Sketches","Edgar Degas (French, 1834–1917)","1858","Cleveland Museum","Cleveland Museum","false","https://openaccess-cdn.clevelandart.org/1951.430/1951.430_web.jpg"
"154285","Ludovic Lepic Holding His Dog","Edgar Degas (French, 1834–1917)","1889","Cleveland Museum","Cleveland Museum","false","https://openaccess-cdn.clevelandart.org/1988.93/1988.93_web.jpg"
"163547","Self-Portrait","Edgar Degas (French, 1834–1917)","1857","Cleveland Museum","Cleveland Museum","false","https://openaccess-cdn.clevelandart.org/2004.87/2004.87_web.jpg"
"135265","Stefanina Primicile Carafa, Marchioness of Cicerale and Duchess of Montejasi","Edgar Degas (French, 1834–1917)","c. 1875","Cleveland Museum","Cleveland Museum","false","https://openaccess-cdn.clevelandart.org/1958.28/1958.28_web.jpg"
"393049","The Laundresses","Edgar Degas (French, 1834–1917)","1879–80","Cleveland Museum","Cleveland Museum","false","https://openaccess-cdn.clevelandart.org/2020.223/2020.223_web.jpg"
"111371","Mary Cassatt at the Louvre:  The Paintings Gallery","Edgar Degas (French, 1834–1917)","1879–80","Cleveland Museum","Cleveland Museum","false","https://openaccess-cdn.clevelandart.org/1929.876/1929.876_web.jpg"
"125526","Mary Cassatt at the Louvre: The Paintings Gallery","Edgar Degas (French, 1834–1917)","1879–80","Cleveland Museum","Cleveland Museum","false","https://openaccess-cdn.clevelandart.org/1947.459/1947.459_web.jpg"
"145107","After the Bath (Large Version)","Edgar Degas (French, 1834–1917)","1891–92","Cleveland Museum","Cleveland Museum","false","https://openaccess-cdn.clevelandart.org/1970.285/1970.285_web.jpg"
"149113","In the Salon","Edgar Degas (French, 1834–1917)","c. 1880s","Cleveland Museum","Cleveland Museum","false","https://openaccess-cdn.clevelandart.org/1977.44/1977.44_web.jpg"
"166674","Four Studies of the Head of a Young Italian Woman","Edgar Degas (French, 1834–1917)","1856","Cleveland Museum","Cleveland Museum","false","https://openaccess-cdn.clevelandart.org/2008.388/2008.388_web.jpg"
"535703","Woman in a Ruffled Cap","Edgar Degas (French, 1834–1917)","1859–60","Cleveland Museum","Cleveland Museum","false","https://openaccess-cdn.clevelandart.org/2022.257/2022.257_web.jpg"
"109142","The Jockey","Edgar Degas (French, 1834–1917)","c. 1885–1900","Cleveland Museum","Cleveland Museum","false","https://openaccess-cdn.clevelandart.org/1927.301/1927.301_web.jpg"
"165259","Mlle Bécat at the Café des Ambassadeurs","Edgar Degas (French, 1834–1917)","1877–78","Cleveland Museum","Cleveland Museum","false","https://openaccess-cdn.clevelandart.org/2007.194/2007.194_web.jpg"
"667091","Actresses in Their Dressing Rooms","Edgar Degas (French, 1834–1917)","1879–80","Cleveland Museum","Cleveland Museum","false","https://openaccess-cdn.clevelandart.org/2023.155/2023.155_web.jpg"
"166878","Horse and Rider","Edgar Degas (French, 1834–1917)","c. 1890","Cleveland Museum","Cleveland Museum","false","https://openaccess-cdn.clevelandart.org/2009.123/2009.123_web.jpg"
"111372","Mary Cassatt at the Louvre: The Etruscan Gallery","Edgar Degas (French, 1834–1917)","1879–80","Cleveland Museum","Cleveland Museum","false","https://openaccess-cdn.clevelandart.org/1929.877/1929.877_web.jpg"
"106234","Dancer at Rest","Edgar Degas (French, 1834–1917)","c. 1895","Cleveland Museum","Cleveland Museum","false","https://openaccess-cdn.clevelandart.org/1924.329/1924.329_web.jpg"
"120492","Nude Man Standing, with Left Hand Raised","Edgar Degas (French, 1834–1917)","c. 1900","Cleveland Museum","Cleveland Museum","false","https://openaccess-cdn.clevelandart.org/1941.316/1941.316_web.jpg"
"122584","Nude Woman with Towel, Standing","Edgar Degas (French, 1834–1917)","1891–92","Cleveland Museum","Cleveland Museum","false","https://openaccess-cdn.clevelandart.org/1942.84/1942.84_web.jpg"
"120298","After the Bath III","Edgar Degas (French, 1834–1917)","1891–92","Cleveland Museum","Cleveland Museum","false","https://openaccess-cdn.clevelandart.org/1941.150/1941.150_web.jpg"
"131785","Nude Woman Standing, Drying Herself","Edgar Degas (French, 1834–1917)","1891–92","Cleveland Museum","Cleveland Museum","false","https://openaccess-cdn.clevelandart.org/1954.361/1954.361_web.jpg"
"132614","Two Seated Women (verso)","Edgar Degas (French, 1834–1917)","1856–60","Cleveland Museum","Cleveland Museum","false","https://openaccess-cdn.clevelandart.org/1955.139.b/1955.139.b_web.jpg"
"132613","Battle Scene with Armored Figures on Horseback (recto)","Edgar Degas (French, 1834–1917)","1856–60","Cleveland Museum","Cleveland Museum","false","https://openaccess-cdn.clevelandart.org/1955.139.a/1955.139.a_web.jpg"
