url,artist,artistSlug,title,artveeId,thumbnail
"https://artvee.com/dl/carriage-dealers/","Alphonse Mucha","alphonse-mucha","Carriage Dealers","carriage-dealers","https://mdl.artvee.com/ft/11926po.jpg"
"https://artvee.com/dl/chocolat-ideal/","Alphonse Mucha","alphonse-mucha","Chocolat Idéal","chocolat-ideal","https://mdl.artvee.com/ft/11927po.jpg"
"https://artvee.com/dl/manufacture-royale-de-corsets/","Alphonse Mucha","alphonse-mucha","Manufacture Royale De Corsets","manufacture-royale-de-corsets","https://mdl.artvee.com/ft/11928po.jpg"
"https://artvee.com/dl/portrait-of-josephine-crane-bradley-as-slavia/","Alphonse Mucha","alphonse-mucha","Portrait Of Josephine Crane-Bradley As Slavia","portrait-of-josephine-crane-bradley-as-slavia","https://mdl.artvee.com/ft/207025fg.jpg"
"https://artvee.com/dl/etoile-du-soir/","Alphonse Mucha","alphonse-mucha","Étoile Du Soir","etoile-du-soir","https://mdl.artvee.com/ft/901291il.jpg"
"https://artvee.com/dl/the-iris/","Alphonse Mucha","alphonse-mucha","The Iris","the-iris","https://mdl.artvee.com/ft/901292il.jpg"
"https://artvee.com/dl/the-lily/","Alphonse Mucha","alphonse-mucha","The Lily","the-lily","https://mdl.artvee.com/ft/901293il.jpg"
"https://artvee.com/dl/ivy/","Alphonse Mucha","alphonse-mucha","Ivy","ivy","https://mdl.artvee.com/ft/901294il.jpg"
"https://artvee.com/dl/spring-16/","Alphonse Mucha","alphonse-mucha","Spring","spring-16","https://mdl.artvee.com/ft/901295il.jpg"
"https://artvee.com/dl/chocolat-mexicain/","Alphonse Mucha","alphonse-mucha","Chocolat Mexicain","chocolat-mexicain","https://mdl.artvee.com/ft/901296il.jpg"
"https://artvee.com/dl/etoile-polaire/","Alphonse Mucha","alphonse-mucha","Étoile Polaire","etoile-polaire","https://mdl.artvee.com/ft/901297il.jpg"
"https://artvee.com/dl/la-plume/","Alphonse Mucha","alphonse-mucha","La Plume","la-plume","https://mdl.artvee.com/ft/901299il.jpg"
"https://artvee.com/dl/la-primevere/","Alphonse Mucha","alphonse-mucha","La Primevere","la-primevere","https://mdl.artvee.com/ft/901300il.jpg"
